City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
125,Umm Kaddadah,SD,13.6,26.69,83.21,24,96,18.25,overcast clouds
126,Saint-Augustin,CA,51.23,-58.65,28.45,80,0,10.51,clear sky
127,Brae,GB,60.4,-1.35,50.0,81,100,40.26,light rain
128,Upernavik,GL,72.79,-56.15,16.02,95,100,13.31,overcast clouds
129,Hargeysa,SO,9.56,44.06,63.97,78,0,7.58,clear sky
130,Kungurtug,RU,50.6,97.52,17.91,89,99,2.1,overcast clouds
131,Sembakung,ID,3.82,117.25,81.01,78,81,3.2,broken clouds
132,Namatanai,PG,-3.67,152.43,86.11,66,26,3.96,scattered clouds
133,College,US,64.86,-147.8,10.0,77,90,1.79,light snow
134,Esperance,AU,-33.87,121.9,71.6,68,100,9.17,overcast clouds
135,Wageningen,NL,51.97,5.67,52.0,93,90,5.82,overcast clouds
136,Marktoberdorf,DE,47.78,10.62,50.0,81,91,5.82,overcast clouds
137,Uravakonda,IN,14.95,77.27,70.7,80,0,1.92,clear sky
138,Gravdal,NO,68.12,13.5,44.55,68,99,16.89,overcast clouds
139,Merrill,US,45.18,-89.68,53.6,66,90,13.87,overcast clouds
140,Ribeira Grande,PT,38.52,-28.7,68.95,93,35,21.34,scattered clouds
141,Mataura,NZ,-46.19,168.86,57.0,75,100,15.01,overcast clouds
142,Anadyr,RU,64.75,177.48,6.8,84,40,8.95,scattered clouds
143,Winslow,US,35.02,-110.7,64.4,22,1,5.82,clear sky
144,Ambon,ID,-3.7,128.18,84.99,89,74,1.01,light rain
145,Kodiak,US,57.79,-152.41,37.4,40,1,9.17,clear sky
146,Bima,ID,-8.47,118.72,88.97,51,6,2.53,clear sky
147,Honiara,SB,-9.43,159.95,89.6,66,20,5.82,few clouds
148,Ostersund,SE,63.18,14.64,39.2,93,100,19.46,overcast clouds
149,Scarborough,GB,54.28,-0.4,48.0,80,100,5.99,overcast clouds
150,Zaragoza,ES,41.66,-0.88,51.8,81,0,2.24,clear sky
151,Castro,BR,-24.79,-50.01,52.05,94,35,6.8,scattered clouds
152,Scordia,IT,37.3,14.84,59.0,100,5,3.36,clear sky
153,Matara,LK,5.95,80.54,77.34,85,100,5.88,overcast clouds
154,Cordoba,AR,-31.41,-64.18,64.99,43,0,10.29,clear sky
155,Karambakkudi,IN,10.47,79.13,78.8,88,40,2.44,mist
156,Angoram,PG,-4.06,144.07,90.25,55,35,5.06,scattered clouds
157,La Plata,AR,-34.92,-57.95,60.01,77,0,1.01,clear sky
158,Tolaga Bay,NZ,-38.37,178.3,73.36,42,99,0.83,overcast clouds
159,Chapais,CA,49.78,-74.85,28.4,58,90,17.22,overcast clouds
160,Ranot,TH,7.78,100.32,81.59,75,25,4.38,light rain
161,Kalach-Na-Donu,RU,48.69,43.53,53.6,62,75,11.18,moderate rain
162,Kalmar,SE,56.66,16.36,50.0,100,81,14.99,broken clouds
163,Ipixuna,BR,-1.76,-48.8,82.4,74,0,11.41,clear sky
164,Camopi,GF,3.17,-52.32,77.97,80,19,3.8,few clouds
165,Onega,RU,63.91,38.14,31.21,96,2,6.93,clear sky
166,Murray Bridge,AU,-35.12,139.27,66.0,69,0,3.42,clear sky
167,Lompoc,US,34.64,-120.46,70.0,56,1,11.41,clear sky
168,Shenjiamen,CN,29.96,122.3,69.15,75,7,2.82,clear sky
169,Verkhnevilyuysk,RU,63.45,120.32,-2.02,92,64,3.74,broken clouds
170,Codrington,AU,-38.27,141.97,59.97,74,54,8.12,broken clouds
171,Avarua,CK,-21.21,-159.78,73.4,94,100,9.17,haze
172,Almaznyy,RU,48.04,40.05,50.0,93,20,4.47,few clouds
173,Gracac,HR,44.3,15.85,42.8,100,100,1.12,mist
174,Amuntai,ID,-2.42,115.25,78.42,91,100,0.04,heavy intensity rain
175,Vila Franca Do Campo,PT,37.72,-25.43,69.8,94,75,13.87,broken clouds
176,Guerrero Negro,MX,27.98,-114.06,71.06,53,99,9.19,overcast clouds
177,Samarinda,ID,-0.5,117.15,81.3,80,72,4.23,light rain
178,Kondinskoye,RU,59.65,67.41,34.81,98,100,8.01,light rain
179,Pundaguitan,PH,6.37,126.17,83.35,74,100,9.89,overcast clouds
180,Paamiut,GL,61.99,-49.67,23.97,94,100,7.18,light snow
181,Broome,US,42.25,-75.83,35.01,69,1,10.29,clear sky
182,Leh,IN,34.17,77.58,26.53,74,0,0.51,clear sky
183,Tuktoyaktuk,CA,69.45,-133.04,-2.2,84,75,5.82,broken clouds
184,Banjar,ID,-8.19,114.97,80.8,71,85,3.53,overcast clouds
185,Cranbrook,CA,49.5,-115.77,42.8,48,75,2.24,broken clouds
186,Praya,CV,14.92,-23.51,75.2,78,0,18.34,clear sky
187,San Rafael,AR,-34.62,-68.33,70.99,23,0,11.14,clear sky
188,Trinidad,BO,-14.83,-64.9,74.46,45,20,2.08,few clouds
189,Tyrma,RU,50.08,132.17,37.92,88,100,6.35,light rain
190,Kavieng,PG,-2.57,150.8,85.35,72,1,9.89,clear sky
191,Bhum,IN,18.47,75.67,69.96,56,0,7.7,clear sky
192,Gizo,SB,-8.1,156.84,85.3,67,55,2.06,broken clouds
193,Taoudenni,ML,22.68,-3.98,75.69,20,99,12.17,overcast clouds
194,Raudeberg,NO,61.99,5.14,50.0,83,100,33.02,light rain
195,Masalli,KR,34.8,126.66,53.6,93,90,5.82,overcast clouds
196,Feira De Santana,BR,-12.27,-38.97,73.87,87,96,7.67,overcast clouds
197,Pisco,PE,-13.7,-76.22,63.0,88,0,16.11,clear sky
198,Clyde River,CA,70.47,-68.59,14.0,85,20,17.22,few clouds
199,Pacific Grove,US,36.62,-121.92,69.8,40,1,3.36,clear sky
200,Balabac,PH,7.99,117.06,82.15,78,100,6.62,overcast clouds
201,Zhigansk,RU,66.77,123.37,-0.98,92,93,6.31,overcast clouds
202,Faya,SA,18.39,42.45,60.8,29,0,1.45,clear sky
