City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
101,Hoi An,VN,80.6,scattered clouds,15.88,108.33,Belle Maison Hadana Hoi An managed by H&K Hospitality
104,Hithadhoo,MV,83.89,overcast clouds,-0.6,73.08,Scoop Guest House
108,Butaritari,KI,81.77,overcast clouds,3.07,172.79,Isles Sunset Lodge
111,Alofi,NU,80.6,light rain,-19.06,-169.92,Taloa Heights
113,Birao,CF,75.16,clear sky,10.28,22.79,
117,Kismayo,SO,79.18,clear sky,-0.36,42.55,Agan-Hotel
121,Isangel,VU,80.53,overcast clouds,-19.55,169.27,Volcano Sea View Tree House
125,Umm Kaddadah,SD,83.21,overcast clouds,13.6,26.69,
131,Sembakung,ID,81.01,broken clouds,3.82,117.25,
132,Namatanai,PG,86.11,scattered clouds,-3.67,152.43,Namatanai Hotel
134,Esperance,AU,71.6,overcast clouds,-33.87,121.9,Hospitality Esperance
137,Uravakonda,IN,70.7,clear sky,14.95,77.27,Divya Lodge
144,Ambon,ID,84.99,light rain,-3.7,128.18,Swiss-Belhotel Ambon
146,Bima,ID,88.97,clear sky,-8.47,118.72,Lambitu Hotel
147,Honiara,SB,89.6,few clouds,-9.43,159.95,Heritage Park Hotel
153,Matara,LK,77.34,overcast clouds,5.95,80.54,Amaloh Boutique Resort
155,Karambakkudi,IN,78.8,mist,10.47,79.13,பட்டமாவிடுதி
158,Tolaga Bay,NZ,73.36,overcast clouds,-38.37,178.3,Tolaga Bay Motel
160,Ranot,TH,81.59,light rain,7.78,100.32,Pakbanglake resort ปากบางเลค รีสอร์ท
163,Ipixuna,BR,82.4,clear sky,-1.76,-48.8,Casa da Oscarina
164,Camopi,GF,77.97,few clouds,3.17,-52.32,
167,Lompoc,US,70.0,clear sky,34.64,-120.46,Holiday Inn Express Lompoc
171,Avarua,CK,73.4,haze,-21.21,-159.78,Paradise Inn
174,Amuntai,ID,78.42,heavy intensity rain,-2.42,115.25,Hotel Balqis
176,Guerrero Negro,MX,71.06,overcast clouds,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
177,Samarinda,ID,81.3,light rain,-0.5,117.15,Aston Samarinda Hotel & Convention Center
179,Pundaguitan,PH,83.35,overcast clouds,6.37,126.17,Leonardo Family Beach House 1
184,Banjar,ID,80.8,overcast clouds,-8.19,114.97,The Hamsa Resort
186,Praya,CV,75.2,clear sky,14.92,-23.51,LT Aparthotel
187,San Rafael,AR,70.99,clear sky,-34.62,-68.33,Hotel San Rafael
188,Trinidad,BO,74.46,few clouds,-14.83,-64.9,Hotel Piesta
190,Kavieng,PG,85.35,clear sky,-2.57,150.8,Nusa Island Retreat
192,Gizo,SB,85.3,broken clouds,-8.1,156.84,Imagination Island
193,Taoudenni,ML,75.69,overcast clouds,22.68,-3.98,
196,Feira De Santana,BR,73.87,overcast clouds,-12.27,-38.97,Hotel Paraiso
200,Balabac,PH,82.15,overcast clouds,7.99,117.06,Sing and Swing Lodge
203,Neiafu,TO,77.0,broken clouds,-18.65,-173.98,Mystic Sands
206,Sao Joao Da Barra,BR,70.84,light rain,-21.64,-41.05,Pousada Porto De Canoas
207,Champerico,GT,77.0,broken clouds,14.3,-91.92,"Hotel y restaurante ""El Diamante"""
208,Fortaleza,BR,80.6,scattered clouds,-3.72,-38.52,Hotel Luzeiros Fortaleza
212,Long Xuyen,VN,80.6,scattered clouds,10.38,105.42,Nhà nghĩ Vy Linh
216,Gamba,GA,76.39,light rain,-2.65,10.0,
217,El Paujil,CO,73.81,light rain,1.57,-75.33,Hostal La Reina
219,Trincomalee,LK,78.42,broken clouds,8.57,81.23,Welcombe Hotel
222,Kantang,TH,77.0,broken clouds,7.41,99.52,Reng Ta Chai Boutique HomeStay
223,Puerto Colombia,CO,82.18,moderate rain,10.99,-74.95,Hotel El Emigrante
224,Charters Towers,AU,88.09,clear sky,-20.1,146.27,Cattleman's Rest Motor Inn
225,Bengkulu,ID,79.41,overcast clouds,-3.8,102.27,Grage Hotel Bengkulu
234,Tual,ID,84.0,overcast clouds,-5.67,132.75,Grand Vilia Hotel
